        
512	27151	27150
511	27141	27144
511	27143	27141
5256	57923	57920
2913	41581	41582
1771	34298	34300
1771	34300	34299
1772	34307	34306
1886	34946	34945
1886	34944	34946
547	27361	27362
546	27356	27354
546	27355	27356
545	27346	27344
2576	38843	38841
2576	38842	38843
2622	39100	39098
2622	39099	39100
2096	36143	36145
2000	35590	35592
2000	35592	35591
5479	59690	59693
5439	59271	59269
1012	30054	30055
910	29476	29477
1012	30055	30053
2911	41561	41563
2760	40000	40003
878	29296	29294
1434	32433	32432
1434	32431	32433
1494	32772	32774
1435	32439	32438
3615	46195	46200
3615	46200	46198
1278	31559	31557
1279	31564	31565
1355	31986	31984
2962	42050	42048
3004	42417	42418
4465	52323	52319
4465	52319	52321
2750	39888	39890
2750	39890	39885
3857	48620	48621
4986	56532	56533
5505	59954	59952
5474	59641	59642
2003	35609	35608
2003	35607	35609
3644	46526	46528
5291	58275	58274
5269	58059	58062
5269	58060	58059
2543	38650	38652
2594	38940	38939
2594	38938	38940
2559	38744	38743
6363	66130	66132
6222	64857	64856
6222	64856	64855
4836	55332	55331
4931	56140	56141
2977	42181	42176
2766	40072	40071
2977	42176	42177
3790	48018	48019
4178	50930	50928
3931	49223	49222
4081	50331	50332
2352	37591	37593
2352	37593	37592
2425	37977	37979
2426	37985	37984
3781	47927	47931
3781	47931	47929
1290	31628	31630
1290	31630	31629
1364	32039	32041
2876	41220	41221
2876	41219	41220
3105	43232	43233
3372	44953	44952
2741	39787	39788
4872	55674	55677
4751	54459	54457
5975	63076	63075
5952	62864	62867
3795	48066	48065
3729	47423	47425
5259	57953	57955
5293	58293	58292
5259	57955	57956
3660	46715	46718
3660	46718	46717
5578	60640	60639
5460	59493	59494
4809	55066	55070
3778	47898	47899
3669	46812	46810
4816	55137	55140
4764	54597	54600
6230	64943	64945
6220	64835	64832
6343	65987	65986
5443	59313	59314
5492	59824	59820
5332	58595	58594
563	27487	27488
562	27477	27475
420	26581	26582
419	26574	26571
419	26571	26573
420	26579	26580
6227	64906	64907
6227	64911	64906
5945	62787	62783
1076	30420	30418
982	29882	29883
981	29877	29875
1076	30419	30420
1075	30414	30412
981	29876	29877
86	24476	24475
86	24473	24474
85	24465	24468
85	24467	24466
85	24466	24465
6036	63432	63431
3962	49470	49468
3655	46656	46657
3655	46657	46658
3655	46658	46653
2804	40499	40496
4763	54585	54588
4763	54586	54585
6240	65050	65052
6240	65049	65050
485	26973	26974
485	26975	26976
484	26966	26965
484	26965	26969
484	26969	26968
2361	37637	37638
2376	37717	37720
2376	37719	37718
2376	37720	37719
5946	62799	62801
5946	62801	62798
5973	63059	63056
5952	62863	62864
5952	62866	62863
4483	52516	52515
4483	52513	52516
2029	35764	35762
2029	35763	35764
2028	35756	35754
2808	40544	40541
2808	40545	40544
2961	42035	42036
3703	47164	47165
3703	47161	47164
3703	47162	47161
157	24949	24951
158	24960	24959
157	24952	24949
158	24958	24960
158	24961	24962
158	24962	24958
2146	36413	36411
2147	36419	36420
2050	35884	35885
2147	36420	36418
2809	40553	40555
4781	54779	54781
4781	54778	54777
4781	54781	54778
3719	47328	47329
3719	47327	47326
3719	47329	47327
4968	56414	56416
4816	55141	55138
6057	63665	63661
6064	63736	63734
2908	41532	41536
2770	40117	40116
2770	40118	40117
3811	48214	48215
6089	63966	63965
1288	31615	31617
1289	31624	31623
1363	32035	32036
1363	32033	32035
3707	47200	47201
3707	47201	47202
5608	60891	60893
5506	59965	59961
3943	49319	49317
3598	46001	46004
3598	46004	46005
3869	48731	48733
3647	46565	46564
3647	46566	46565
6271	65358	65359
6271	65356	65358
6044	63522	63523
6044	63523	63526
2819	40662	40663
5284	58210	58213
5296	58318	58319
5284	58211	58210
6287	65510	65511
6347	66015	66014
3656	46669	46665
6208	64699	64700
4832	55294	55293
4832	55293	55296
3216	44020	44019
3313	44603	44605
2925	41705	41704
5265	58020	58019
5299	58345	58346
4784	54812	54811
4784	54811	54813
4925	56094	56095
5638	61130	61131
5863	62431	62430
5894	62566	62567
2772	40141	40139
2118	36263	36264
2117	36257	36255
2816	40633	40630
2862	41083	41081
2816	40630	40632
3060	42871	42873
2842	40891	40890
493	27032	27033
492	27022	27026
492	27024	27022
3611	46153	46156
3611	46155	46152
3611	46156	46155
3605	46083	46082
3605	46080	46083
3698	47113	47111
2794	40393	40388
2794	40387	40393
6226	64896	64899
6226	64898	64896
3759	47720	47717
3759	47719	47720
4732	54257	54255
3930	49216	49215
2918	41631	41632
2917	41621	41618
2798	40435	40432
3145	43522	43524
5482	59725	59723
5482	59723	59724
5646	61188	61187
2979	42197	42198
2836	40831	40832
2766	40069	40068
6352	66049	66048
6276	65405	65406
2734	39708	39703
2734	39705	39704
2734	39704	39708
5459	59483	59485
2763	40035	40039
2763	40037	40035
3736	47488	47490
3736	47490	47491
4842	55395	55397
4842	55394	55398
4842	55398	55395
4509	52765	52766
4480	52479	52482
3610	46142	46141
3610	46144	46142
363	26215	26216
363	26219	26215
2749	39876	39873
3009	42465	42467
3009	42464	42465
3662	46736	46737
3662	46734	46736
555	27424	27428
554	27417	27420
555	27428	27427
6042	63500	63501
6042	63503	63498
6042	63501	63503
2856	41024	41025
2856	41023	41024
3620	46254	46259
3620	46259	46258
3046	42761	42762
5279	58158	58159
2724	39660	39661
2725	39667	39666
2715	39617	39618
3638	46466	46467
3638	46469	46470
4031	49985	49986
3638	46467	46469
145	24861	24858
146	24869	24870
147	24876	24873
146	24870	24866
146	24866	24868
3626	46326	46327
3626	46328	46326
3808	48189	48188
3789	48009	48011
3789	48008	48009
418	26567	26568
419	26575	26574
418	26568	26564
419	26573	26572
418	26564	26565
4783	54797	54799
4783	54801	54798
4783	54798	54797
3631	46383	46388
2862	41082	41079
2885	41305	41304
285	25711	25714
286	25722	25721
285	25712	25711
286	25719	25720
2990	42291	42290
2377	37724	37725
2443	38083	38082
2442	38078	38077
5556	60447	60449
5461	59508	59507
4876	55711	55712
6053	63617	63620
6086	63942	63941
148	24879	24881
2900	41453	41451
3712	47256	47257
3767	47799	47798
4486	52547	52544
4486	52544	52543
2878	41242	41236
2878	41236	41239
3892	48914	48911
292	25759	25758
292	25761	25760
293	25765	25766
292	25758	25757
292	25757	25761
337	26050	26051
336	26042	26044
337	26052	26053
336	26045	26042
1375	32102	32101
1440	32466	32468
1441	32471	32473
1441	32473	32472
6054	63629	63630
5584	60688	60687
329	26000	25999
328	25988	25990
328	25991	25988
6339	65952	65953
6246	65108	65107
5460	59497	59492
5510	60005	60003
5537	60264	60266
5442	59305	59303
5442	59307	59305
6071	63810	63808
6071	63807	63810
5945	62788	62787
5945	62786	62788
140	24819	24821
141	24830	24829
141	24828	24830
4636	53577	53572
3003	42407	42404
3115	43308	43309
2823	40706	40705
2173	36568	36567
2174	36574	36573
2173	36566	36568
4626	53465	53469
4626	53469	53468
547	27362	27360
2798	40433	40435
2798	40431	40433
4064	50218	50219
4095	50424	50421
3933	49241	49238
3760	47730	47727
3760	47727	47731
2737	39739	39742
2737	39740	39738
2737	39742	39740
3645	46542	46539
5263	58000	57998
5263	57998	58001
1004	30007	30005
1004	30006	30007
1101	30554	30552
4831	55284	55286
4831	55285	55284
3736	47491	47489
3622	46274	46279
5428	59154	59153
5428	59155	59154
3015	42513	42512
4640	53613	53616
4626	53468	53467
3697	47101	47103
418	26565	26566
417	26557	26559
417	26561	26557
2521	38530	38531
2520	38525	38526
3618	46236	46235
3810	48205	48206
5416	59025	59024
5478	59684	59685
15	24005	24008
15	24006	24005
6059	63686	63682
6059	63682	63685
1758	34231	34230
1758	34229	34231
1759	34236	34235
2712	39601	39599
2719	39635	39636
6263	65271	65273
6229	64934	64932
6229	64932	64929
5085	57147	57148
4789	54866	54865
6488	66898	66899
6298	65604	65606
6298	65607	65604
133	24774	24776
133	24778	24774
3614	46186	46189
3614	46189	46184
5951	62852	62856
5951	62856	62857
5951	62857	62851
4690	53964	53965
1402	32248	32246
1402	32247	32248
59	24295	24294
59	24292	24293
59	24294	24291
59	24291	24292
4858	55546	55543
4731	54244	54245
2780	40225	40224
5536	60254	60255
5442	59306	59304
4726	54185	54190
2467	38225	38224
2526	38557	38556
2526	38555	38557
2466	38216	38218
2505	38447	38446
144	24852	24851
143	24843	24845
3825	48339	48340
3617	46223	46225
3617	46225	46224
3973	49560	49561
3663	46748	46744
6069	63786	63782
6042	63498	63499
6042	63499	63504
3856	48612	48613
3618	46234	46232
1919	35135	35133
1920	35141	35142
